COVENTRY EAGLE, 
SHERCO, 0.5
SHERCO, 0.5 KID
SHERCO, 0.5 TRIAL
SHERCO, 0.8
SHERCO, 0.8 TRIAL
WAKAN, 100
LAVERDA, 1000
LAVERDA, 1000 3 C
MV AGUSTA, 1000 AGO
MOTO GUZZI, 1000 DAYTONA INJECTION
KAWASAKI, 1000 GTR
LAVERDA, 1000 JOTA
LAVERDA, 1000 JOTA/120
MOTO GUZZI, 1000 QUOTA INJECTION
LAVERDA, 1000 RGS
LAVERDA, 1000 RGS/2
LAVERDA, 1000 RGS-JOTA
MZ, 1000S
MZ, 1000 S
DUCATI, 1000 S 2
MZ, 1000 SF
LAVERDA, 1000 SFC
MZ, 1000 SF STREETFIGHTER
MZ, 1000SF SUPERFIGHTER
DUCATI, 1000 SS HAILWOOD-REPLICA
MZ, 1000 ST SUPERTRAVELLER
MZ, 1000ST SUPERTRAVELLER
MONDIAL, 100 ARDOUR
KAWASAKI, 100 G4TR
KAWASAKI, 100 G5
KAWASAKI, 100 G 7 T
E-MAX, 100L
MONDIAL, 100 LOYAL
WAKAN, 100 ROADSTER
JAWA-CZ, 100 ROBBY
MONDIAL, 100 RT
MONDIAL, 100 UGK
NSU, 101 OSB
TGB, 101R
TGB, 101 R
TGB, 101R 125
TGB, 101R 150
TGB, 101R (150CC)
TGB, 101R 50
TGB, 101S
TGB, 101S (125CC)
TGB, 101S 50
TGB, 101S (90 CC)
INDIAN, 101 SCOUT
TGB, 104T 50
KTM, 1050 ADVENTURE
HIGHLAND, 1050CC VIKING
HIGHLAND, 1050 VIKING
KTM, 105 SX
KTM, 1090 ADVENTURE R
VICTORY, 10TH ANNIVERSARY VISION TOUR
MOTO GUZZI, 1100 CALIFORNIA EV
MV AGUSTA, 1100 GRAND PRIX
MOTO GUZZI, 1100 SPORT
MOTO GUZZI, 1100 SPORT CORSA
ZONGSHEN, 110-9
LINHAI, 110 GY
E-MAX, 110S
BUELL, 1125CR CAFE RACER
BUELL, 1125R
ERIK BUELL RACING, 1125R DSB
ERIK BUELL RACING, 1125RR ASB
ROEHR, 1130 SUPERBIKE
KTM, 1190 ADVENTURE
KTM, 1190 ADVENTURE R
KTM, 1190 RC8
KTM, 1190 RC8 CARBON
KTM, 1190 RC8 R
KTM, 1190 RC8 R AKRAPOVIC
KTM, 1190 RC8 R AKRAPOVIC LIMITED EDITION
KTM, 1190 RC8 R RACE SPECS
KTM, 1190 RC8 R RED BULL
KTM, 1190 RC8 R RED BULL LIMITED EDITION
KTM, 1190 RC8 R TRACK
ERIK BUELL RACING, 1190RR
ERIK BUELL RACING, 1190RS
ERIK BUELL RACING, 1190RS CARBON EDITION
ERIK BUELL RACING, 1190RX
DUCATI, 1198
DUCATI, 1198 R CORSE SPECIAL EDITION
DUCATI, 1198 S
DUCATI, 1198 S CORSE SPECIAL EDITION
DUCATI, 1199 PANIGALE
DUCATI, 1199 PANIGALE R
DUCATI, 1199 PANIGALE S
DUCATI, 1199 PANIGALE S TRICOLORE
HARLEY-DAVIDSON, 11KR
MINSK, 12
SUPER MOTOR, 120
LAVERDA, 1200
HARLEY-DAVIDSON, 1200 CUSTOM 110TH ANNIVERSARY
HARLEY-DAVIDSON, 1200 CUSTOM LIMITED EDITION A
HARLEY-DAVIDSON, 1200 CUSTOM LIMITED EDITION B
MOTO GUZZI, 1200 SPORT
MOTO GUZZI, 1200 SPORT 4V
MOTO GUZZI, 1200 SPORT ABS
MOTO GUZZI, 1200 SPORT ROSSO CORSA
HARLEY-DAVIDSON, 1200 SPORTSTER
HARLEY-DAVIDSON, 1200 SPORTSTER CUSTOM
HARLEY-DAVIDSON, 1200 SPORTSTER SPORT
LAVERDA, 1200 TS
E-MAX, 120L
E-MAX, 120S
E-MAX, 120S-D DELIVERY
DIRICO, 120X
GILERA, 124 5V
JOTAGAS, 125
HONDA, @ 125
SHERCO, 1.25
ROEHR, 1250SC
OSET, 12.5 24V ECO
OSET, 12.5 24V RACING
BENELLI, 125 2 C
SUKIDA, 125-2C STIFF
ZONGSHEN, 125 - 30
MONDIAL, 125 AGGRESSIVE
MONDIAL, 125 ARDOUR
YUKI, 125 ARROW
LAMBRETTA, 125B
JORDAN, 125-B BOXER
JORDAN, 125B BOXER
LAMBRETTA, 125C
CAGIVA, 125 C 10 FRECCIA
CAGIVA, 125 C 12 R FRECCIA
CAGIVA, 125 C 9 FRECCIA
SHERCO, 125CC ENDURO
SHERCO, 125CC ENDURO SHARK REPLICA
SHERCO, 125CC SM
SHERCO, 125CC SM IPONE REPLICA
JAWA-CZ, 125 CHOPPER
BAJAJ, 125 CLASSIC
YUKI, 125 CRS
CAGIVA, 125 CRUISER
JAWA-CZ, 125 DAKAR
JAWA-CZ, 125 DANDY
MBK, 125 DC
SHINETIME, 125 DIRT BIKE EPA
LAMBRETTA, 125D SERIES 1
LAMBRETTA, 125D SERIES 2
KTM, 125 DUKE
LAMBRETTA, 125E
MALANCA, 125 E 2 CS OB ONE 5 N
MALANCA, 125 E 2 CS OB ONE 6 N
MALANCA, 125 E 2 CS OB ONE RACING
MALANCA, 125 E 2 C SPORT
AJS, 125 ECO COMMUTER
SHERCO, 125 ENDURO
PUCH, 125 ENDURO (5-SPEED)
PUCH, 125 ENDURO (6-SPEED)
SHERCO, 125 ENDURO SHARK REPLICA
KTM, 125 ENDURO SPORT
KTM, 125 EXC
KTM, 125 EXC SIXDAYS
KTM, 125 EXC SIX DAYS
LAMBRETTA, 125F
KAWASAKI, 125 F 6
SCORPA, 125 FACTORY
FGR, 125 GP
KYMCO, 125 GRAND KING
PUCH, 125 GS
PUCH, 125 GS (5-SPEED)
KYMCO, 125 HIPSTER 4V H/BAR
KYMCO, 125 HIPSTER 4V L/BAR
HOREX, 125 IMPERATOR
MOTO MORINI, 125 KJ KANGURO
KAWASAKI, 125 KS
MONDIAL, 125 KT
KTM, 125 LC2
LAMBRETTA, 125LDA SERIES 2
LAMBRETTA, 125LD SERIES 2
LAMBRETTA, 125LD SERIES 3
JORDAN, 125 LEGACY
LAMBRETTA, 125M
MEGELLI, 125 M
MALANCA, 125 M 6 OB ONE RACING
YUKI, 125 MANXMAN
YUKI, 125 MANXMAN S
MALANCA, 125 MARK ENDURO
MONDIAL, 125 MC ROADRACER
MONDIAL, 125 MG CLASSIC
MONDIAL, 125 MG DELUXE
MONDIAL, 125 MG SPORT
MONDIAL, 125 MH DRIFT
CAGIVA, 125 MITO
RIEJU, 125 MRX 4T
MONDIAL, 125 MX GRUMBLE
RIEJU, 125 NKD
MONDIAL, 125 NT TURKUAZ
GAS GAS, 125 PRO
KYMCO, 125 PULSAR CK
MEGELLI, 125 R
GAS GAS, 125 RACE
FANTIC, 125 RAIDER LC
KTM, 125 RC PP
YUKI, 125 RS
MZ, 125 RT
MONDIAL, 125 RT AKIK
MZ, 125-RT STRIKER
MV AGUSTA, 125 S
SCORPA, 125 SC
DUCATI, 125 SCRAMBLER
TOMOS, 125 SE
YUKI, 125 SM
DERBI, 125 SM BAJA
MZ, 125 SM BLIZZARD
MZ, 125 SM ELEGANCE
MZ, 125 SM GANGSTA
YUKI, 125 SPIDER
KYMCO, 125 SPIKE
BENELLI, 125 SPORT
FANTIC, 125 SPORT HP 1
MZ, 125 SPORTSTAR
MOTOBI, 125 SPRITE 5
MV AGUSTA, 125 SS
SHERCO, 125 ST
GILERA, 125 STRADA
FANTIC, 125 STRADA LC
FANTIC, 125 STRADA SPORT
KYMCO, 125 STRYKER
KYMCO, 125 STRYKER OFFROAD
SHERCO, 125 SUPERMOTARD
HERO HONDA, 125 SUPER SPLENDOR
KTM, 125 SX
MZ, 125 SX CAMOUFLAGE
MZ, 125 SX SIXDAYS 87
MOTO MORINI, 125 T
VELI, 125 T-2
YUKI, 125 TR
CZ, 125 TRAIL
JAWA-CZ, 125 TRAVEL
SHERCO, 1.25 TRIAL
SCORPA, 125 T-RIDE
SCORPA, 125 TWENTY
SCORPA, 125 TY
VESPA, 125 U
CAGIVA, 125 W8
HUSQVARNA, 125 WR
HUSQVARNA, 125 WRK
KTM, 125 XC-W
SHERCO, 125 X-RIDE
SHERCO, 125 XY
MALAGUTI, 125 YLC
NSU, 125ZB
MONDIAL, 125 ZNU
KTM, 1290 SUPER ADVENTURE
KTM, 1290 SUPER ADVENTURE R
KTM, 1290 SUPER ADVENTURE S
KTM, 1290 SUPER ADVENTURE T
KTM, 1290 SUPER DUKE GT
KTM, 1290 SUPERDUKE PP
KTM, 1290 SUPER DUKE R
KTM, 1290 SUPER DUKE R ABS
KTM, 1290 SUPER DUKE R SE
DUCATI, 1299 PANIGALE
DUCATI, 1299 PANIGALE S
DUCATI, 1299 PANIGALE S ANNIVERSARIO
MINSK, 13
HARLEY-DAVIDSON, 1340 BAD BOY
HARLEY-DAVIDSON, 1340 DYNA CONVERTIBLE
HARLEY-DAVIDSON, 1340 DYNA LOW RIDER
HARLEY-DAVIDSON, 1340 DYNA SUPER GLIDE
HARLEY-DAVIDSON, 1340 DYNA WIDE GLIDE
HARLEY-DAVIDSON, 1340 ELECTRA GLIDE CLASSIC
HARLEY-DAVIDSON, 1340 ELECTRA GLIDE ROAD KING
HARLEY-DAVIDSON, 1340 ELECTRA GLIDE ULTRA CLASSIC
HARLEY-DAVIDSON, 1340 ELECTRA GLIDE ULTRA CLASSIC (REDUCED EFFECT)
HARLEY-DAVIDSON, 1340 HERITAGE SOFTAIL CLASSIC
HARLEY-DAVIDSON, 1340 SOFTAIL CUSTOM
HARLEY-DAVIDSON, 1340 SOFTAIL FAT BOY
HARLEY-DAVIDSON, 1340 SOFTAIL SPRINGER
HARLEY-DAVIDSON, 1340 SPRINGER SOFTAIL
HARLEY-DAVIDSON, 1340 SPRINGER SOFTAIL (REDUCED EFFECT)
HARLEY-DAVIDSON, 1340 TOUR GLIDE ULTRA CLASSIC
HARLEY-DAVIDSON, 1340 TOUR GLIDE ULTRA CLASSIC (REDUCED EFFECT)
YIBEN, 139QBT-15
ECRP, 1.4
KAWASAKI, 1400 GTR
KAWASAKI, 1400 GTR GRAND TOURER
KAWASAKI, 1400GTR GRAND TOURER
HOREX, 1400 TI
E-MAX, 140L
KTM, 144 SX
MOTO MORINI, 150
HONDA, @150
HONDA, @ 150
ICE BEAR, 150-19N TRIKE
VELI, 150-8
MONDIAL, 150 ARGENT
CF MOTO, 150 CHARM AUTOMATIC
LAMBRETTA, 150D SERIES 2
CF MOTO, 150 E-CHARM AUTOMATIC / CF150T-5A
CF MOTO, 150 E-JEWEL AUTOMATIC / CF150T
LINHAI, 150 GY
CF MOTO, 150 JEWEL AUTOMATIC
MONDIAL, 150 MASH
MONDIAL, 150 MC ROADRACER
MONDIAL, 150 MC X ROADRACER
MONDIAL, 150 MG KING
MONDIAL, 150 MR VULTURE
CF MOTO, 150NK
ZNEN, 150 ROAR 4
MV AGUSTA, 150 RSS
GILERA, 150 STRADA
KYMCO, 150 STRYKER OFFROAD
KYMCO, 150 STYKER
KTM, 150 SX
VELI, 150 T-3
KTM, 150 XC
KTM, 150 XC-W
MONDIAL, 150 ZNX
ZWEIRAD-UNION, 159TS
ZWEIRAD-UNION, 159 TS
HARLEY-DAVIDSON, 15F
ARIEL, 1.5 HP
HARLEY-DAVIDSON, 15J
TOMOS, 15 SLC
AMAZONAS, 1600
OSET, 16.0 ECO 36V
DUCATI, 160 MONZA JUNIOR
OSET, 16 36V RACING
HARLEY-DAVIDSON, 165
HARLEY-DAVIDSON, 16F
HARLEY-DAVIDSON, 16J
JAWA-CZ, 175
JAWA-CZ, 175 ENDURO
PUCH, 175 GS
DUCATI, 175 SPORT TS
CZ, 175 TRAIL
WSK, 175 W21B2S2
HARLEY-DAVIDSON, 17F
HARLEY-DAVIDSON, 17J
CZ, 180
LAUGE JENSEN, 1800
ROEHR, 180HP V- SUPERBIKE
VESPA, 180 RALLY
CZ, 180 ROLAND
VESPA, 180 SUPERSPORT
HARLEY-DAVIDSON, 18F
HARLEY-DAVIDSON, 18J
E-MAX, 190L
KUMPAN, 1953
KUMPAN, 1954
KUMPAN, 1954 L
KUMPAN, 1954S
KUMPAN, 1955
TERRA MODENA, 198
HARLEY-DAVIDSON, 19J
ROAD HOPPER, 1I
VOSKHOD, 2
SHERCO, 2.0
MONDIAL, 200 CONSTELLATION
KTM, 200 DUKE
OSET, 20.0 ECO
KTM, 200 EXC
LINHAI, 200 GY
OSET, 20.0 LITE
GAS GAS, 200 PRO
VESPA, 200 RALLY
ZÜNDAPP, 200 S
KTM, 200 SX
KTM, 200 XC-W
NSU, 201 OSL
NSU, 201R
ZÜNDAPP, 201S
NSU, 201T
NSU, 201TS
TGB, 203
TGB, 203 50
OSET, 20 48V RACING
HARLEY-DAVIDSON, 20F
HARLEY-DAVIDSON, 20J
EXCELSIOR, 20R
SHERCO, 2.0 TRIAL
HERCULES, 211
HARLEY-DAVIDSON, 21F
HARLEY-DAVIDSON, 21J
ARIEL, 2.25 HP
HARLEY-DAVIDSON, 22F
HARLEY-DAVIDSON, 22J
HARLEY-DAVIDSON, 23F
HARLEY-DAVIDSON, 23FD
HARLEY-DAVIDSON, 23J
HARLEY-DAVIDSON, 23JD
OSET, 24.0 RACING
OSET, 24.0R JR
HUSQVARNA, 240 WR
HARLEY-DAVIDSON, 24FD
HARLEY-DAVIDSON, 24FDCA
HARLEY-DAVIDSON, 24J
HARLEY-DAVIDSON, 24JD
HARLEY-DAVIDSON, 24JDCA
HARLEY-DAVIDSON, 24W
SUPER MOTOR, 25
SHERCO, 2.5
JAWA, 250
BENELLI, 250 2 C
LIFAN, 250-4
CZ, 250/485
XINGFU, 250 A
AERMACCHI, 250 ALA VERDE SERIE 1
AERMACCHI, 250 ALA VERDE SERIE 2
DF MOTOR, 250 BUBBA CHOPPER
MONDIAL, 250 BUFFALO
JAWA, 250 CALIFORNIA
YUKI, 250 CRS
DUCATI, 250 DIANA 
SHINETIME,  250 DIRT BIKE
KTM, 250 DUKE
TANK SPORTS, 250E
JAWA-CZ, 250 ENDURO
KTM, 250 EXC
KTM, 250 EXC-F
KTM, 250 EXC-F SIXDAYS
KTM, 250 EXC-F SIX DAYS
KTM, 250 EXC RACING
KTM, 250 EXC SIXDAYS
KTM, 250 EXC SIX DAYS
KAWASAKI, 250 F 11
SCORPA, 250 FACTORY
TM RACING, 250FI 4T ENES
TM RACING, 250FI 4T MX 
CF MOTO, 250 FREEDOM SCOOTER
AZEL, 250 GS
KTM, 250 GS ENDURO SPORT
DUCATI, 250 GT
ENFIELD, 250GT CONTINENTAL
MONDIAL, 250 JET MAX
DUCATI, 250 MARK 3
DUCATI, 250 MARK 3D
DUCATI, 250 MARK 3 D
JAWA, 250 MASTER TEMPO
JAWA, 250 MASTER - TEMPO
JAWA, 250 MASTER/TEMPO
CZ, 250 MOTOCROSS TYPE 980.5
MONDIAL, 250 MR DESTRO
DF MOTOR, 250 OUTLAW CHOPPER
BENELLI, 250 QUATTRO
YAMAHA, 250 RACER
FANTIC, 250 RAIDER LC
HONDA, 250 REBEL
CAGIVA, 250 RX
KAWASAKI, 250 S 1 MACH I
SUZUKI, 250 SB
SCORPA, 250 SC
DUCATI, 250 SCRAMBLER
SHERCO, 250 SE
SHERCO, 250 SEF
SHERCO, 250 SEF-R
SHERCO, 250 SEF-R FACTORY
SHERCO, 250 SE-R
SHERCO, 250 SE-R FACTORY
SHERCO, 250 SE-R SIX DAYS
PUCH, 250 SGS
PUCH, 250 SGS 67
MOTOBI, 250 SIXTIRANTI
BENELLI, 250 SPORT
MOTOBI, 250 SPRITE 5
SHERCO, 250 ST
ZÜNDAPP, 250 S TROPHY
MIKILON, 250 SUPER MOTOR
KTM, 250 SX
KTM, 250 SX-F
KTM, 250 SX-F FACTORY EDITION
KTM, 250 SX-F ROCZEN EDITION
MOTO MORINI, 250 T
KAWASAKI, 250TR
KAWASAKI, 250 TR
JAWA-CZ, 250 TRAVEL
MOTO GUZZI, 250 TS
APRILIA, 250 TUAREG
SCORPA, 250 TWENTY
CZ, 250 TWIN
KYMCO, 250 VENOX
HUSQVARNA, 250 WR
HUSQVARNA, 250 WRK
KTM, 250 XC
KTM, 250 XC-F
KTM, 250 XCF-W
KTM, 250 XCF-W SIX DAYS
KTM, 250 XC-W
NIMBUS, 2510
NSU, 251 OSL
NSU, 251 OSL WH
NSU, 251 SS
MOTO GUZZI, 254
BENELLI, 254 QUATTRO
XISPA, 25.COM
HARLEY-DAVIDSON, 25FDCB
SHERCO, 2.5I  4T ENDURO
SHERCO, 2.5I 4T ENDURO
SHERCO, 2.5I ENDURO
HARLEY-DAVIDSON, 25J
HARLEY-DAVIDSON, 25JD
HARLEY-DAVIDSON, 25JDCB
HUSQVARNA, 260 WRK
HARLEY-DAVIDSON, 26B
HARLEY-DAVIDSON, 26F
HARLEY-DAVIDSON, 26FD
HARLEY-DAVIDSON, 26J
HARLEY-DAVIDSON, 26JD
ZEV, 2700 L
HARLEY-DAVIDSON, 27B
HARLEY-DAVIDSON, 27FD
HARLEY-DAVIDSON, 27J
HARLEY-DAVIDSON, 27JD
JOTAGAS, 280
GAS GAS, 280 PRO
SCORPA, 280 T-RIDE
HARLEY-DAVIDSON, 28B
HARLEY-DAVIDSON, 28J
HARLEY-DAVIDSON, 28JD
HARLEY-DAVIDSON, 28S
SHERCO, 2.9
SHERCO, 290 ST
SHERCO, 290 X-RIDE
HARLEY-DAVIDSON, 29B
SHERCO, 2.9 CABESTANY REPLICA
HARLEY-DAVIDSON, 29D
HARLEY-DAVIDSON, 29J
HARLEY-DAVIDSON, 29JD
SHERCO, 2.9 TRIAL
ARIEL, 2 HP
ROAD HOPPER, 2I
ROAD HOPPER, 2I ZERO FIGHTER
COSMOS MUSCLE BIKES, 2RWF V8
QUADRO, 3
JOTAGAS, 300
KTM, 300 EXC
KTM, 300 EXC-E
KTM, 300 EXC SIXDAYS
KTM, 300 EXC SIX DAYS
SCORPA, 300 FACTORY
TM RACING, 300FI 4T ENES
TM RACING, 300FI 4T MX
KTM, 300 GS ENDURO SPORT
KTM, 300 MXC
KTM, 300 MXC USA
GAS GAS, 300 PRO
COVINGTONS, 300R
SCORPA, 300 SC
SHERCO, 300 SE
SHERCO, 300 SEF
SHERCO, 300 SEF-R
SHERCO, 300 SEF-R FACTORY
SHERCO, 300 SEF-R SIX DAYS
SHERCO, 300 SE-R
SHERCO, 300 SE-R FACTORY
SHERCO, 300 ST
SCORPA, 300 TWENTY
KTM, 300 XC
KTM, 300 XC-W
NSU, 301T
NSU, 301TS
TGB, 303 50
TGB, 303R
TGB, 303R (125 CC)
TGB, 303R 150
TGB, 303R (150 CC)
TGB, 303R 50
TGB, 303RS 125
BENELLI, 304
SHERCO, 305 ST
HARLEY-DAVIDSON, 30B
HARLEY-DAVIDSON, 30C
HARLEY-DAVIDSON, 30DL
HERCULES, 311
MOTO MORINI, 3112 KLASSIK
MOTO MORINI, 3 1/2 KLASSIK
NSU, 3  1/2 PS
NSU, 3 1/2 PS
MOTO MORINI, 3 1/2 S
MOTO MORINI, 3 1/2 S KLASSIK
MOTO MORINI, 3 1/2 SPORT
MOTO MORINI, 3 1-2 TOURING
MOTO MORINI, 3 1/2 TOURING
MOTO MORINI, 3 1-2 V
MOTO MORINI, 3 1/2 V
MOTO MORINI, 3 1/2 VS
HERCULES, 313 STARR
HERCULES, 314
HERCULES, 315
HERCULES, 316
HERCULES, 317
HERCULES, 318
HERCULES, 319
HARLEY-DAVIDSON, 31DLD
SHERCO, 3.2
HERCULES, 322
SHERCO, 3.2 4T
HARLEY-DAVIDSON, 32B
HARLEY-DAVIDSON, 32C
HARLEY-DAVIDSON, 32DLD
GREEVES, 32D SPORTS TWIN
HARLEY-DAVIDSON, 32R
HARLEY-DAVIDSON, 32RL
JAWA, 330 STYLE
JAWA, 350
JAWA, 350/639
CAGIVA, 350 ALAZZURRA
JAWA-CZ, 350 BASIC
ENFIELD, 350 BULLET
ENFIELD, 350 BULLET CLASSIC
ENFIELD, 350 BULLET DELUXE
ENFIELD, 350 BULLET DE LUXE
ENFIELD, 350 BULLET SUPERSTAR
JAWA-CZ, 350 CALEFORNIAN
JAWA, 350 CALIFORNIA
HIGHLAND, 350CC TRAIL
JAWA, 350 CHOPPER
ENFIELD, 350 CLASSIC OUTFIT
QUADRO, 350 D
GILERA, 350 DAKOTA
MOTO MORINI, 350 EXCALIBUR
KTM, 350 EXC-F
KTM, 350 EXC-F SIX DAYS
DONGHAI, 350 F3
KAWASAKI, 350 F 9
KTM, 350 F EXC FACTORY
MV AGUSTA, 350 GT
DUCATI, 350 GTL
BRIDGESTONE, 350 GTO
DUCATI, 350 GTV
PUCH, 350 HWE
MOTO MORINI, 350 K 2
MOTO MORINI, 350 KANGURO
DUCATI, 350 MARK 3
DUCATI, 350 MARK 3D
DUCATI, 350 MARK 3 D
JAWA-CZ, 350 MILITARY
BSA, 350 PLUNGER
JAWA-CZ, 350 POLICE
JAWA-CZ, 350 POLICIE
JAWA-CZ, 350 RETRO
BENELLI, 350 RS
MV AGUSTA, 350 S
KAWASAKI, 350 S 2 MACH II
DUCATI, 350 SCRAMBLER
DUCATI, 350 S DESMO
MV AGUSTA, 350 SS
JAWA-CZ, 350 STYLE
KTM, 350 SX-F
ENFIELD, 350 T BULLET TRIALS
HUSQVARNA, 350 TE
JAWA-CZ, 350 TRAMP
JAWA, 350 TS
JAWA, 350 TS (WITH SIDECAR)
AERMACCHI, 350 TV
CZ, 350 TWIN
CZ, 350 TYP 472.6
JAWA, 350 TYPE 634.6
JAWA, 350 TYPE 638.5
JAWA, 350 TYPE 638.5 (WITH SIDECAR)
MOTOTRANS, 350 VENTO
HUSQVARNA, 350 WR
MOTO MORINI, 350 X2 KANGURO
MOTO MORINI, 350 X 3 KANGURO
KTM, 350 XC-F
KTM, 350 XCF-W
DUCATI, 350 XL
NSU, 351 OSL
NSU, 351 OT
NSU, 351TS
JAWA, 353 MOTORCYCLE REPLICA
BENELLI, 354
BENELLI, 354 SPORT
BENELLI, 354 SPORT II
ARIEL, 3.5 HP
ORION, 36-RX XTREME
KTM, 380 EXC
KTM, 380 SX
KTM, 390 DUKE
KTM, 390 DUKE ABS
VOSKHOD, 3M-01
VOSKHOD, 3-M 175
TRIUMPH, 3TA
QUADRO, 4
YUKI, 400 DARKER
SANGLAS, 400 E
KTM, 400 EGS
KTM, 400 EGS-E
KTM, 400 EXC
KTM, 400 EXC RACING
SANGLAS, 400 F
KTM, 400 LC4-E
KTM, 400 LC4 EGS
KTM, 400 LC4 EGS-E
KTM, 400 LC4 LSE
KTM, 400 LSE
CZ, 400 MX TYPE 981
CF MOTO, 400NK
KAWASAKI, 400 S 3 MACH II
KTM, 400 SX RACING
HUSQVARNA, 400 WR
HONDA, 400X
SANGLAS, 400 Y
INDIAN, 402
CCM, 404 DS SUPERMOTO
CCM, 404DS SUPERMOTO
CCM, 404 DS SUPERSPORT
CCM, 404 DS TRAIL
CCM, 404DS TRAIL
MÜNCH, 4-1200 TTS
MÜNCH, 4-1200 TTS-E
SIMSON, 425 GS
SIMSON, 425 T
HUSQVARNA, 430 AUTOMATIC
HIGHLAND, 450CC CROSS COUNTRY
HIGHLAND, 450CC MX
HIGHLAND, 450CC SUPERMOTO
ATK, 450 DIRT TRACK
CCM, 450 DS
CCM, 450 DS SUPERMOTO
CCM, 450DS SUPERMOTO
CCM, 450DS TRAIL
ATK, 450 ENDURO
KTM, 450 EXC
KTM, 450 EXC-F
KTM, 450 EXC-R
KTM, 450 EXC RACING
KTM, 450 EXC SIXDAYS
KTM, 450 EXC SIX DAYS
TM RACING, 450FI 4T ENES
TM RACING, 450FI 4T MX
GAS GAS, 450 FSE
DUCATI, 450 MARK 3
DUCATI, 450 MARK 3D
DUCATI, 450 MARK 3 D
ATK, 450 MOTARD
HIGHLAND, 450 MX
WRM, 450 MX1 CROSS
KTM, 450 MXC USA
KTM, 450 RALLY FACTORY REPLICA
KTM, 450 RALLY REPLICA
DUCATI, 450 SCRAMBLER
SHERCO, 450 SEF-R
SHERCO, 450 SEF-R FACTORY
SHERCO, 450 SEF-R SIX DAYS
HIGHLAND, 450 SM
KTM, 450 SMC USA
KTM, 450 SMR
BMW, 450 SPORTS ENDURO
KTM, 450 SX
KTM, 450 SX-F
KTM, 450 SX-F FACTORY EDITION
KTM, 450 SX RACING
DUCATI, 450 TS
HUSQVARNA, 450 WR
ATK, 450 XC
KTM, 450 XC-W
SHERCO, 4.5 4T SUPERMOTARD
SHERCO, 4.5I 4T ENDURO
SHERCO, 4.5I 4T SUPERMOTARD
SHERCO, 4.5I ENDURO
SOMMER, 462
CZ, 476
HARLEY-DAVIDSON, 477/650
NORTON, 490 CS 1
SACHS, 49ER
SACHS, 49ER 12
SACHS, 49ER II
BENELLI, 49X QUATTRO NOVE X OFF ROAD
BENELLI, 49X QUATTRO NOVE X ON ROAD
QUADRO, 4 ADVENTURE
QUADRO, 4D
ARIEL, 4F SQUARE FOUR 500
ARIEL, 4F SQUARE FOUR 600
ARIEL, 4G MK II
ARIEL, 4G SQUARE FOUR 1000
ARIEL, 4G SQUARE FOUR MARK I
ARIEL, 4G SQUARE FOUR MARK II
BLACKBURNE, 4HP
ARIEL, 4 HP
NSU,  4PS
COSMOS MUSCLE BIKES, 4RWF V8
KINETIC, 4S
QUADRO, 4 STEINBOCK
SUPER MOTOR, 50
LAVERDA, 500
ENFIELD, 500 BULLET
ENFIELD, 500 BULLET ARMY
ENFIELD, 500 BULLET CLASSIC
ENFIELD, 500 BULLET DELUXE
ENFIELD, 500 BULLET SIXTY-FIVE
MOTO MORINI, 500 CAMEL
ENFIELD, 500 CLASSIC OUTFIT
ENFIELD, 500 CLUBMAN GT
ENFIELD, 500 CLUBMAN S
GILERA, 500 DAKOTA
MAICO, 500 ENDURO
KTM, 500 EXC
KTM, 500 EXC-F
KTM, 500 EXC SIX DAYS
TRIUMPH, 500 GRAND PRIX
DUCATI, 500 GTL
DUCATI, 500 GTV
KAWASAKI, 500 H1
KAWASAKI, 500 H 1 MACH III
KTM, 500 K 4 ENDURO
BENELLI, 500 LS
MOTO MORINI, 500 M
KTM, 500 MX
DUCATI, 500 PANTAH
BENELLI, 500 QUATTRO
MUZ, 500 R
MUZ, 500 R FUN
MOTO MORINI, 500 S
SANGLAS, 500 S 2
MOTO GUZZI, 500 SAHARA
ENFIELD, 500S CONTINENTAL
DUCATI, 500 S DESMO
MOTO MORINI, 500 SEI-V
MOTO MORINI, 500 SEI-V KLASSIK
LAVERDA, 500 SFC
DUCATI, 500 SL PANTAH
BSA, 500 SS GOLD STAR
MAICO, 500 SUPERMOTO
MOTO MORINI, 500 T
ENFIELD, 500 T BULLET TRIALS
BIMOTA, 500 V-DUE
KTM, 500 XC-W
OSSA, 500 YANKEE
MOTO MORINI, 501/2 CAMEL
MOTO MORINI, 501 CAMEL
MOTO MORINI, 501 EXCALIBUR
MOTO MORINI, 501 K 2 AMEX
MOTO MORINI, 501 NEW YORK
NSU, 501 OSL
NSU, 501 SS
NSU, 501T
NSU, 501 TS
JAWA, 50 - 20 / YEZDI  - COLT
VOR, 503 SUPERMOTO SM
KTM, 505 SX F
KTM, 505 SX-F
KTM, 505 XC-F
HIGHLAND, 507CC CROSS COUNTRY
HIGHLAND, 507CC MX
HIGHLAND, 507CC SUPERMOTO
CH RACING, 509 PRO SENIOR HUSKY BOY
SHERCO, 50 CC ENDURO
SHERCO, 50CC ENDURO
SHERCO, 50CC ENDURO CHAMPION REPLICA
SHERCO, 50 CC SM
SHERCO, 50CC SM BLACK PANTHER
SHERCO, 50CC SM CHAMPION FRANCE REPLICA
SHERCO, 50CC SM  CUP REPLICA
SHERCO, 50CC SUPERMOTARD
SUNDIRO, 50 CH GREIFF
SHERCO, 50CS SM CHAMPION FRANCE REPLICA
